98,동두천,2020-06-11 1:00,21.1,99
98,동두천,2020-06-11 2:00,20.7,99
98,동두천,2020-06-11 3:00,20.7,99
98,동두천,2020-06-11 4:00,20.7,99
98,동두천,2020-06-11 5:00,20.6,99
98,동두천,2020-06-11 6:00,20.6,100
98,동두천,2020-06-11 7:00,21.8,96
98,동두천,2020-06-11 8:00,22.7,93
98,동두천,2020-06-11 9:00,24.8,82
98,동두천,2020-06-11 10:00,25.9,76
98,동두천,2020-06-11 11:00,27.2,68
98,동두천,2020-06-11 12:00,28.4,63
98,동두천,2020-06-11 13:00,30.1,59
98,동두천,2020-06-11 14:00,31.2,43
98,동두천,2020-06-11 15:00,31.6,44
98,동두천,2020-06-11 16:00,31.4,44
98,동두천,2020-06-11 17:00,30.8,42
98,동두천,2020-06-11 18:00,29.1,46
98,동두천,2020-06-11 19:00,28,49
98,동두천,2020-06-11 20:00,27,56
98,동두천,2020-06-11 21:00,25.5,62
98,동두천,2020-06-11 22:00,25.2,70
98,동두천,2020-06-11 23:00,23.9,78
98,동두천,2020-06-12 0:00,22.8,81
98,동두천,2020-06-12 1:00,22.2,84
98,동두천,2020-06-12 2:00,21.6,82
98,동두천,2020-06-12 3:00,20.1,90
98,동두천,2020-06-12 4:00,19.3,93
98,동두천,2020-06-12 5:00,18.8,95
98,동두천,2020-06-12 6:00,18.7,96
98,동두천,2020-06-12 7:00,20.6,92
98,동두천,2020-06-12 8:00,22.8,86
98,동두천,2020-06-12 9:00,24.2,81
98,동두천,2020-06-12 10:00,26.5,64
98,동두천,2020-06-12 11:00,26.1,63
98,동두천,2020-06-12 12:00,25.8,65
98,동두천,2020-06-12 13:00,26.7,61
98,동두천,2020-06-12 14:00,26.7,60
98,동두천,2020-06-12 15:00,26.6,65
98,동두천,2020-06-12 16:00,26.6,65
98,동두천,2020-06-12 17:00,26.4,58
98,동두천,2020-06-12 18:00,26.1,57
98,동두천,2020-06-12 19:00,25.2,59
98,동두천,2020-06-12 20:00,24.3,67
98,동두천,2020-06-12 21:00,22.8,74
98,동두천,2020-06-12 22:00,21.6,80
98,동두천,2020-06-12 23:00,20.9,81
98,동두천,2020-06-13 0:00,20.2,82
98,동두천,2020-06-13 1:00,19.8,82
98,동두천,2020-06-13 2:00,18.9,85
98,동두천,2020-06-13 3:00,17.8,92
98,동두천,2020-06-13 4:00,16.9,95
98,동두천,2020-06-13 5:00,17.1,92
98,동두천,2020-06-13 6:00,16.7,93
98,동두천,2020-06-13 7:00,18.2,91
98,동두천,2020-06-13 8:00,20.8,79
98,동두천,2020-06-13 9:00,24.3,63
98,동두천,2020-06-13 10:00,26.7,44
98,동두천,2020-06-13 11:00,28.7,33
98,동두천,2020-06-13 12:00,30.9,30
98,동두천,2020-06-13 13:00,32.1,27
98,동두천,2020-06-13 14:00,32.3,29
98,동두천,2020-06-13 15:00,33.1,24
98,동두천,2020-06-13 16:00,32.5,26
98,동두천,2020-06-13 17:00,32.2,36
98,동두천,2020-06-13 18:00,29.8,38
